1	INTJ PREP DET NMP NMS AUX PROPN XFAMIL PREP NMS PREP PREP CHIF CHIF NFP PREP DETFS NFS	bonsoir à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures à la une	<eps> à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures <eps> <eps> <eps>	_
63	ADV ADV DET NMP AUX ADJMP DET NMP PREP PDEMMS NMS PPOBJMS VERB PROPN XFAMIL AUX ADJMS PPER3MS VERB DINTMS NMS ADJMS ADJMS PREP PPOBJMS AUX VERB PROPN XFAMIL XFAMIL AUX DINTFS NFS PREP DETMS PROPN	alors ici les affrontements sont fréquents ces impacts sur cet immeuble le prouvent ali fadah est alaouite il représente un parti pro syrien pour lui faire tomber bachar al assad serait une menace pour le liban	alors ici les affrontements sont fréquents ces impacts sur cet immeuble le prouvent fada <eps> est alaouites il représente un parti pro-syrien <eps> pour lui faire tomber bachar el assad serait une menace pour le liban	_
64	<eps> <eps> PDEMMS VERB DINTMS NMS PREP DETFS NFS PREP DETFS PROPN COCO DETMS PROPN PREL VERB PREP DET NFP PINDMS VERB PINDMS AUX CHIF NMP ADV DET NFS ADV VERB ADV AUX DINTFS NFS PREP VERB DETFS PROPN COCO PRON PREL PPER3MP VERB AUX DINTFS NFS PREP DINTMS NMS ADJMS	<eps> <eps> cela a un impact sur la relation entre la syrie et le liban qui dure depuis des années on coopère on est deux voisins donc notre zone ne doit pas être une route pour attaquer la syrie et ce qu' ils font est une intervention dans un problème syrien	s bonnabry cela a un impact sur la relation entre la syrie et le liban qui dure depuis des années on coopère on est deux voisins donc notre zone ne doit pas être une route pour attaquer la syrie est ce qu' ils font est une intervention dans un problème syrien	_
65	COCO DET NMP VERB PDEMFS NFS	mais certains habitants regrettent cette tension	<eps> certains habitants regrette cette tension	_
66	COCO PREFP VERB AUX ADV PINDMS AUX ADV ADJ COCO PPOBJMP ADV ADV PINDMS <eps> <eps> VERB ADV VERB DINTFS NFS <eps> <eps> <eps> <eps> <eps> <eps> <eps>	et nous c' est pareil on est pas heureux et eux non plus on <eps> <eps> doit vraiment trouver une solution <eps> <eps> <eps> <eps> <eps> <eps> <eps>	<eps> nous c' est pareil mais <eps> pas heureux et <eps> non plus mâché allaient bon doit vraiment trouver une solution non pas alors bon mais pas avant	_
67	PREP PROPN DET NFS ADV ADJFS VERB ADV PREP VERB DINTMS NMS ADV ADJMS	a tripoli l' armée très présente tente donc de garder un calme toujours précaire	<eps> tripoli l' armée très présent tente donc de garder un calme toujours précaire	_
68	DET NMP ADJMP VERB ADV CHIF DET NMP ADJMP PREP NMS PREP NMS PREP NMS	les jeux olympiques j moins trois les anneaux olympiques en guise de comité d' accueil	les jeux olympiques j moins trois les anneaux olympiques en guise de comité d' accueil	_
69	COCO DETFS NFS PREP PROPN XFAMIL PREL VERB DETFS NFS PREP DETFS ADJFS NFS DET NMP ADJ DINTMS ADJ NMS	et la gare de saint pancras qui marque la fin de la grande transhumance des athlètes français un gros contingent	m lagarde saint-pancras <eps> <eps> <eps> qui marque la fin de la grande transhumance des athlètes français un gros contingent	_
70	AUX VPPMS PREFP VERB PROPN XFAMIL PPER3MS PPOBJMS VERB ADV PROPN XFAMIL PREL AUX ADJMS DETMS ADJMS PREL VERB ADV DET NMP PREL VERB ADV VERB DETMS NMS ADJMS PREP DINTFS NFS PREP DET NMP DETFS NFS DET NMP AUX ADV PREP PROPN	a débarqué vous reconnaissez laure manaudou il y a également yannick agnel qui est présent le grand qui est là des sportifs qui pourraient bien faire le voyage retour avec une médaille dans les bagages la délégation des nageurs est officiellement à londres	débarquer <eps> vous reconnaissez laure manaudou il y a également yannick daniel qui est présent le grand qui est là des sportifs qui pourrait bien faire le voyage retour avec une médaille dans les bagages la délégation des nageurs est officiellement à londres	_
71	PREP DETMS NMS ADJMS AUX ADV VPPMS COCO PPER1S AUX VPPFS ADV PPER1S <eps> VERB ADV ADV COSUB PDEMMS AUX ADJFS	(h) le voyage s' est bien passé et je suis attendue donc je <eps> répondrai plus tard si c' est possible	c' <eps> <eps> <eps> est bien passé <eps> je suis attendue donc je ne répondrai plus tard <eps> c' est possible	_
72	ADJFS NFS DETFS NFS PREP PREL PINDMS VERB PDEMMS AUX ADJMS PDEMMS VERB NMS PINDMS VERB VERB PDEMMS PREP NMS PREP NMS	belle ambiance la marseillaise dès qu' on arrive c' est sympa ça fait plaisir on va arriver cet après midi au village	<eps> ambiance la marseillaise dès qu' on arrive c' est sympa ça fait plaisir pas arrivé <eps> cet après-midi <eps> au village	_
73	PDEMMS VERB ADV VERB DET NMP ADJMP COCO COCO PREFP VERB PREP DET NFS COCO PINDMS VERB ADV NFS PREP DET NMS VERB <eps> ADV	ça va vraiment lancer les jeux olympiques et et nous mettre dans l' ambiance et on a vraiment hâte de de pouvoir performer <eps> ici	ça va vraiment lancé les jeux olympiques et <eps> nous met dans l' ambiance en <eps> a vraiment hâte de <eps> pouvoir faire formé ici	_
74	PINDMS PPOBJMS AUX ADV ADJFS ADJMS NMS PREP NFS ADJFS COCO PINDMS VERB VERB ADJMP DET ADJMP NMP COCO VERB PDEMMS VERB ADJ <eps> NMS PREP <eps> VERB VERB PREP VERB DETFS NFS DET NMP COCO DET PDEMMS PINDMS AUX PPOBJMS VERB ADV ADV PREP	on y est maintenant dernière dernier jour de ligne droite donc on va paufiner tous les petits détails et voila ça fait super <eps> plaisir de <eps> d' arriver d' entendre la marseillaise les anneaux et tout ça on est y a plus qu' à	on y est maintenant dernier dernier jour de lignes droites <eps> on va peaufiner <eps> les petits détails voilà <eps> ça peut se faire plaisir d' aire d' arrivée d' entendre la marseillaise les annonces <eps> <eps> <eps> on <eps> y est applicable <eps> <eps>	_
75	PPER1S <eps> PPOBJMS VERB ADV ADV PREP PPOBJMS VERB ADV ADV PREP VERB DINTMS NMS PREP DETMS NMS PREP ADJMS NMS PINDMS VERB VERB ADV ADV	voila <eps> y a plus qu' à y a plus qu' à jeter un oeil sur le temps de demain matin on va découvrir ensemble voilà	voilà il y a plus qu' il y a plus qu' acheter aussi un oeil sur le temps de demain matin on va découvrir ensemble voilà	_
76	PROPN ADV PPER3MS PPOBJMS VERB CHIF ADJMP NMP PREP DETFS NFS ADJFS COCO DETFS PROPN DETMS NMS ADJMS AUX ADJMS COCO DET NFP ADV ADJFP PREFP VERB PPOBJMS VERB PREP PPOBJMS VERB DINTMS NMS CHIF PREP PROPN CHIF PREP PROPN COCO PROPN CHIF CHIF PREP PROPN COCO CHIF NMP PREP PROPN	no comment il y a deux petits nuages pour la région niçoise et la corse le reste c' est formidable et les températures très douces vous allez le voir dès le lever du jour treize à lille seize à paris et bayonne dix sept à lyon et vingt degrés à bastia	<eps> <eps> il y a deux petits nuages pour la région niçoise et la corse le reste c' est formidable et les températures très douces vous allez le voir dès le lever du jour très à lille seize à paris et bayonne dix sept à lyon et vingt degrés à bastia	_
77	INTJ PROPN XFAMIL PINDMS PREFP VERB PREP	merci damien gourlet on vous retrouve à	merci damien gourlet on vous retrouve à	_
78	CHIF CHIF NFP CHIF PREP	dix huit heures trente après	<eps> huit heures trente après	_
79	DETFS NFS ADJFS PREP DETFS NFS ADJFS VERB DETFS NFS ADJFS CHIF ADJFP NFP PREP DET PROPN	la droite populaire après la droite humaniste voici la droite forte deux jeunes pousses de l' ump	<eps> droite populaire après la droite humaniste voici la droite forte deux jeunes pousses de l' ump	_
80	PROPN XFAMIL COCO PROPN XFAMIL VERB PDEMMS ADJMS NMS PREP PRON PROPN VERB PPER3MS PPER1S PPOBJMS AUX VPPMP PREP PPOBJMP VERB PROPN XFAMIL XFAMIL XFAMIL XFAMIL VERB PREFP AUX ADJMP CHIF NMP ADJMP PREP DET PROPN	guillaume peltier et geoffroy didier lancent ce nouveau mouvement de quoi s' agit il je les ai invités pour en parler geoffroy didier bonsoir guillaume peltier bonsoir vous êtes tous deux secrétaires nationaux à l' ump	guillaume peltier <eps> geoffroy didier lance ce nouveau mouvement de quoi s' agit-il <eps> je les ai invité pour en parler geoffroy didier bonsoir guillaume peltier bonsoir vous êtes tous deux secrétaires nationaux à l' ump	_
81	PROPN XFAMIL PREFP AUX ADV VPPMS PREP ADV COSUB VERB NFS PREP DETFS NFS PREP PROPN XFAMIL XFAMIL XFAMIL PINDMS PREFP VERB ADV PREP NMS PREP PROPN XFAMIL PREFP AUX ADV CHIF ADJMP NMP ADV COSUB PPER1S AUX ADV VPPMS DETFS NFS ADJFS PDEMMS VERB DETFS PROPN ADJFS NFS AUX DETFS NFS	guillaume peltier vous avez notamment participé en tant que porte parole à la campagne de nicolas sarkozy geoffroy didier on vous voit souvent à côté de brice hortefeux vous êtes donc deux jeunes sarkozistes alors si j' ai bien compris la droite forte ça rappelle la france forte c' est la continuité	guillaume peltier vous avez notamment participé en tant que porte parole à la campagne de nicolas sarkozy geoffroy didier on <eps> voit souvent à côté de brice hortefeux vous êtes donc deux jeunes sarkozystes alors si j' ai bien compris la droite forte ça rappelle la france forte c' est la continuité	_
82	PDEMMS AUX PREP DINTMS NMS PREP DINTMS NMS PREP PROPN PREL AUX AUX ADV PREP DINTMS DET NMP PREP DETFS ADJFS NFS PREL AUX ADV VPPMS ADV PREP NMS PREP DETFS NFS ADJFS	c' est dans un dans dans un prolongement avec geoffroy qui a été aussi l' un des coordinateurs de la seule riposte qui avait beaucoup travaillé tout au long de la campagne présidentielle	<eps> <eps> dans un dans dans un prolongement avec geoffroy qui a été aussi l' un des coordinateurs de la cellule riposte qui avaient beaucoup travaillé tout au long de la campagne présidentielle	_
83	PINDMS AUX VPPMS PREP NMS VERB	on a souhaité d' abord assumer	<eps> a souhaité d' abord assumer	_
84	PREP NFS ADV ADJFS DETMS NMS	de manière totalement décomplexée le sarkozysme	<eps> manière totalement décomplexée le sarkozysme	_
85	VERB	repousser	repoussé	_
86	PDEMMS NMS PREP NMS PREL PINDMS VERB ADV COCO ADV	ce droit d' inventaire qu' on entend ici ou là	<eps> droit d' inventaire qu' on entend ici ou là	_
87	ADV PREP NFS ADV ADJFS PREP DET PREP DET NMS VERB DETMS NMS PREP NFS PREP DETFS NFS PREP NMS COCO VERB ADV PREP NMS PREFP PREL VERB DINTMS ADV ADV PREP CHIF NMP	parfois de manière trop forte dans notre dans notre camp assumer le sarkozysme comme fondation de la droite de demain et parler évidemment d' avenir nous qui avons un peu plus de trente ans	parfois de manière trop forte dans notre dans notre camp assumait le sarkozysme comme fondation de la droite de demain et parlé évidemment d' avenir nous qui avons un peu plus de trente ans	_
88	COCO PDEMMS AUX ADV DETMS NMS ADV COSUB PROPN XFAMIL VERB AUX PREP ADV DINTMS NMS ADJMS AUX PRON PREL PINDMS VERB VERB DINTFS NFS PREP NFS PREP PROPN	mais c' est quoi le sarkozysme parce que nicolas sarkozy c' est avant tout un homme pragmatique est ce qu' on peut définir une ligne de pensée de sarkozy	<eps> c' est quoi le sarkozysme parce que nicolas sarkozy c' était avant tout un homme pragmatique <eps> ce qu' on peut définir une ligne de pensée sarkozyste <eps>	_
89	<eps> PDEMMS AUX DETFS ADJFS NFS COSUB COSUB DET PROPN AUX PREP DET NFS PREP DET NFS	<eps> c' est la première fois que que l' ump est dans l' opposition depuis sa création	et c' est la première fois que que l' ump et dans l' opposition depuis sa création	_
90	ADV DETFS NFS PREF VERB ADV <eps> NOUN PREP PPER3FS ADV COSUB PREFP VERB COSUB DETFS NFS ADV AUX ADV AUX ADV ADJFS PREP DET NFP COCO ADV ADJFS PREP DETFS NFS ADV PREFP VERB DINTFS ADJFS NFS	donc la droite se retrouve aujourd'hui <eps> face à elle même donc nous estimons que la droite n' a pas été suffisamment sûre de ses valeurs et suffisamment combative sur la forme donc nous avons une double urgence	donc la droite se retrouvent aujourd' hui face à elle-même <eps> donc nous estimons que la droite n' a pas été suffisamment sûre de ses valeurs et suffisamment combatif sur la forme donc nous avons une double urgence	_
91	PREP DINTFS NFS ADV ADJFS COCO ADJFS AUX ADJMS COSUB PROPN XFAMIL AUX ADV VPPMS PREP VERB DETFS NFS	d' une droite plus décomplexée et c' est vrai que nicolas sarkozy a largement contribué à décomplexer la droite	<eps> une droite plus décomplexée <eps> c' est vrai que nicolas sarkozy a largement contribué à des complices <eps>	_
92	NFS ADJFS	droite décomplexée	été décomplexée	_
93	PDEMMS AUX DINTFS NFS PREL VERB PREP VERB DINTMS NMS ADJMS	c' est une droite qui arrête de parler du front national	<eps> est une droite qui arrête de parler du front national	_
94	PDEMMS AUX DINTFS NFS PREL AUX ADJFS PREP DET NFP COCO DET NFP ADJFP AUX PPER3FP PDEMMS AUX DET NMS PREP DETFS PROPN	c' est une droite qui est sûre de ses valeurs et nos valeurs quelles sont elles c' est l' amour de la france	c' est une droite qui est sûr de ses valeurs et nos valeurs quelles sont elles c' est l' amour de la france	_
95	PDEMMS AUX DETMS NMS PREP DET NFP PDEMMS AUX DETFS NFS DINTMS NMS ADJMS AUX DETFS NFS PREP NMS PRON AUX ADJFP DET NFP PREL AUX DETMS NMS DINTMS NMS ADJMS PREP NFS	c' est le respect de nos frontières c' est la récompense du mérite c' est la priorité au travail ce sont toutes ces valeurs qui sont le coeur du peuple militant de droite	<eps> <eps> le respect de nos frontières c' est la récompense du mérite c' est la priorité au travail <eps> sont toutes ces valeurs qui sont le coeur du peuple militant de droite	_
96	VPPMS PREP NFS PREP PREFP VERB COCO DETMS NMS PREP DINTMS NMS ADJMS PDEMMS ADV AUX ADV PREP AUX VPPMS PREP DINTMS ADJMS ADV ADV DET PROPN AUX VPPMS DINTMS NMS ADJMS PREFP VERB VERB	eu de cesse de nous excuser mais le rôle d' un parti politique ce n' est pas d' être obsédé par un autre trop souvent l' ump a parlé du front national nous voulons parler	ne <eps> cesse de nous excuser <eps> le rôle d' un parti politique ce n' est pas d' être obsédé par un autre trop souvent l' ump a parlé du front national nous voulons parler	_
97	PREP DET NFP DET NFP AUX ADJFP COCO DET NFP PREFP VERB PPOBJFP VERB PPOBJMS VERB	de nos valeurs ces valeurs sont fortes et ces valeurs nous devons les incarner les promouvoir	<eps> nos valeurs ses valeurs sont fortes et ses valeurs nous devons les incarner et promouvoir	_
98	COCO PPOBJMS VERB PREP DETFS ADJFS NFS PREP PRELFS PREFP AUX VPPMS DETMS NMS ADJMS PREP PROPN PREP DETFS NFS COCO PREP PROPN	et les brandir avec la même force avec laquelle nous avons brandi le drapeau tricolore à villepinte à la concorde ou au trocadéro	et <eps> brandir avec la même force avec laquelle nous avons brandit le drapeau tricolore à villepinte à la concours d' autres occasions	_
99	ADV COCO VERB COSUB COSUB ADV PDEMMS VERB DETMS DETMS NMS PINDMS VERB DET NFS COSUB PREFP AUX ADV PREP VERB DETMS NMS PREP PROPN XFAMIL	non mais penser que quand même ça sème le le trouble on a l' impression que vous êtes là pour préparer le retour de nicolas sarkozy	mes pensées <eps> que quand même ça sème le <eps> trouble on a l' impression que vous êtes là pour préparer le retour <eps> nicolas sarkozy	_
100	ADV COCO ADJMS PDEMMS VERB AUX DINTMS NMS PREP DET NMP ADV <eps> <eps> <eps> <eps> COCO ADV COSUB PINDMS COCO ADV COSUB PREP NMS PREFP VERB PDEMMS AUX ADV ADJMS PINDMS AUX AUX ADV ADJMS PREP VERB PROPN XFAMIL ADV PREP NMS DINTMS NMS COCO <eps> ADJMS PREP NMS PREP DETFS NFS ADJFS PREP <eps> <eps> CHIF CHIF CHIF ADV COCO	non mais (f) ça c' est un truc de de journalistes non <eps> <eps> <eps> <eps> mais parce qu' on mais parce que d' abord vous savez c' est très simple on a été très fier d' accompagner nicolas sarkozy tout au long du quinquennat et <eps> tout au long de la campagne présidentielle de <eps> <eps> deux mille douze non mais	<eps> mais <eps> ça c' est un truc de deux journalistes lensois nommément la droite forte mais parce qu' on ne met pas absolument plus et <eps> c' est très simple on a été très fier d' accompagner nicolas sarkozy tout au long du quinquennat et que tout au long de la il est pas utilisé en deux milles douze <eps> <eps>	_
101	PDEMMS VERB AUX DET NMS COCO PDEMMS AUX DET NMS COCO PINDMS VERB DETMS NMS PREP PREF VERB PREP PRON PREL VERB NMS PREP DET NFP ADJFP PREP PDEMFS NFS PUNCT AUX PREFP ADV PREFP VERB	ça c' est son choix et c' est son droit mais on a le droit de s' inspirer de ce qui a marché de ces valeurs fortes de cette fierté d' être nous même vous savez	que <eps> <eps> son choix et c' est son droit mais on a le droit de s' inspirer de ce qui a marché de ses valeurs forte de cette fierté d' être nouvelles <eps> vous savez	_
102	PPER1S VERB PREFP VERB PREP PROPN XFAMIL <eps> VERB AUX ADJMS DETFS NFS ADV VERB ADV ADV DET NFP PREP PROPN XFAMIL PPER3MS AUX VPPMS DET NFP PREL AUX VPPMS	je vais vous dire sous jacques chirac <eps> faut être honnête la droite n' assumait pas toujours ses valeurs avec nicolas sarkozy il a décomplexé les valeurs qu' a évoqué	je vais vous dire sous jacques chirac il faut être honnête la droite n' assume pas toujours ces valeurs avec nicolas sarkozy il a décomplexée des valeurs qui a évoqué	_
103	PPER1S VERB ADV COCO PDEMMS VERB ADV PREP VERB ADV PREP PREP DETFS NFS PREP DET PROPN PPER3MS PPOBJMS VERB PROPN XFAMIL XFAMIL COCO PROPN XFAMIL AUX NMS PREP DETFS NFS PROPN <eps> XFAMIL XFAMIL AUX AUX DETMS ADJMS NMS PREP PROPN XFAMIL <eps> PREL VERB PRON PREL PREFP VERB PREP ADV	je comprends bien mais ça va pas de soi puisqu' à à la tête de l' ump il y a jean françois copé et françois fillon est candidat à la présidence jean <eps> françois fillon a été le premier ministre de nicolas sarkozy <eps> qu' est ce que vous apportez de plus	je voudrais maintenant souvent puisque était <eps> de <eps> <eps> <eps> <eps> <eps> <eps> <eps> l' ump il faut que jean-françois <eps> copé et françois fillon est candidat à la présidence je retrouve françois fillon a été le premier ministre de nicolas sarkozy mais qu' est ce que vous apportez de plus	_
